LigandID,pIC50,canonical_smiles,ATSC4c,ATSC7i,GATS4d,SdCH2,SdssC,BIC4,SMR_VSA4,n7Ring,n7HRing,nG12FARing
CHEMBL3823537,4.52,CCNC1=CC(=O)C=C(C(C)(C)C)C1=O,0.054975358,-4.57570021,1.125705244,0,0.805833333,0.725112671,5.414990469,0,0,0
CHEMBL4175660,4.96,Cc1cc(-c2ccccc2)n(/C(N)=N/S(=O)(=O)c2cc(C)c(Cl)cc2SCc2ccc(Cl)cc2)n1,0.237040851,-36.3738627,1.18998701,0,-0.251659843,0.895535947,10.13137847,0,0,0
CHEMBL4748307,4.52,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cn(Cc4ccc(F)cc4)nn3)CC2)cc1,0.030916564,26.75572282,1.031898247,0,-0.293759272,0.854813578,0,0,0,0
CHEMBL4795830,4.52,O=C(c1cn(Cc2cccc(Oc3ccccc3)c2)nn1)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.017316503,-0.761455246,1.235655168,0,-0.264656747,0.868006227,0,0,0,0
CHEMBL465843,5.52,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,0.326970985,10.66235193,1.435472195,0,-0.649172448,0.818201161,0,0,0,0
CHEMBL4757392,4.52,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cn(Cc4ccccc4)nn3)CC2)cc1,0.049399705,28.60009997,1.076427947,0,-0.234541165,0.854813578,0,0,0,0
CHEMBL4749517,4.52,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cn(Cc4ccccc4)nn3)CC2)cc1,-0.052258685,-0.096258482,1.114788345,0,-0.249252674,0.857892643,0,0,0,0
CHEMBL4751656,3.85,COc1ccc(-n2nnnc2Nc2cccc(Cl)c2)cc1,0.002108065,18.27842566,0.966442953,0,0,0.903071789,0,0,0,0
CHEMBL4575888,4.7,O=Cc1c(O)ccc2oc(-c3ccccc3[N+](=O)[O-])nc12,0.104660984,-24.07590045,1.021734157,0,0,0.912823493,0,0,0,0
CHEMBL4171952,4.74,Cc1cc(S(=O)(=O)/N=C(\N)n2nccc2-c2ccccc2)c(SCc2ccccc2)cc1Cl,0.281643004,-31.89874875,1.180708134,0,-0.244939355,0.897384197,10.13137847,0,0,0
CHEMBL4082735,4.52,CCc1noc(-c2ccc(C(C)=O)cc2)n1,-0.001457442,-14.81521088,0.934526854,0,0.047524355,0.857096696,0,0,0,0
CHEMBL4749586,7.8,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)CO)CCc1cc(OC)c(OC)c(OC)c1-2,0.037242717,-22.24257931,1.449787886,0,-0.975662092,0.841380245,0,1,0,1
CHEMBL4087921,4.21,c1ccc(OCc2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,0.285912686,15.71885777,1.221101758,0,0,0.908567922,0,0,0,0
CHEMBL4101132,4.52,Nc1cc2c(s1)C(=O)c1ccccc1C2=O,-0.162763071,-8.46546128,1.352790465,0,-0.217546296,0.835147174,0,0,0,1
CHEMBL4127649,4.7,Cc1cc(S(=O)(=O)/N=C(\N)N/N=C/C#Cc2ccccc2)c(SCc2cc3c(cc2Cl)OCO3)cc1Cl,0.313100321,-51.62059562,1.108281447,0,-0.416546703,0.90051105,15.232786,0,0,0
CHEMBL4850739,3.82,CN(/N=N/c1ccc(Br)cc1)C(=O)NCCSc1ccc(O)cc1,-0.189985354,-16.62456955,0.929705215,0,-0.317437222,0.911436789,10.33750304,0,0,0
CHEMBL3220084,3.77,O=c1[nH]cnc2c1nc(C(F)(F)F)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.446164135,-8.954581518,1.103127221,0,0,0.918612501,0,0,0,0
CHEMBL2434990,5.69,CCn1c(C(=O)N[C@@H](C)CO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,-0.459405118,-33.9382468,1.057130841,0,-0.173064246,0.818515957,5.414990469,0,0,0
CHEMBL3823559,4.96,CCCCNC1=CC(=O)C=C(C(C)(C)C)C1=O,0.048201714,-7.46826022,1.04944125,0,0.876481481,0.758301767,5.414990469,0,0,0
CHEMBL4084249,5.42,COc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,0.322049447,-19.31337708,1.03008,0,0,0.895306967,0,0,0,0
CHEMBL3823437,4.52,CCCCCCCCNC1=CC(=O)C=C(C(C)(C)C)C1=O,0.040418253,0.307130707,1.033992745,0,0.930076636,0.785953537,5.414990469,0,0,0
CHEMBL4084342,4.12,CN(/N=N/c1ccc(C#N)cc1)C(=O)CCCCc1ccc(O)cc1,-0.037005208,-9.92446162,0.828460039,0,-0.094350802,0.896864618,10.33750304,0,0,0
CHEMBL4129553,4.64,Cc1cc(S(=O)(=O)/N=C(\N)N/N=C/C#Cc2ccccc2)c(SCc2ccccc2C(F)(F)F)cc1Cl,0.377446501,-80.11403309,1.194193088,0,-0.52432295,0.889885253,15.232786,0,0,0
CHEMBL4129694,3.98,C/C(C#Cc1ccccc1)=N\N/C(N)=N/S(=O)(=O)c1cc(C)c(Cl)cc1SCc1cccc(C(F)(F)F)c1,0.259908106,-68.9023965,1.109022556,0,-0.156145618,0.888676546,15.232786,0,0,0
CHEMBL4127782,3.57,C/C(C#Cc1ccccc1)=N\N/C(N)=N/S(=O)(=O)c1cc(C)c(Cl)cc1SCc1ccc(C)cc1,0.251284709,-57.83182106,1.060419974,0,0.050027379,0.888676546,15.232786,0,0,0
CHEMBL4445064,3.64,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.457058382,17.83617775,1.045484552,0,-1.218219832,0.773711571,0,0,0,0
CHEMBL4128319,4.8,Cc1cc(S(=O)(=O)/N=C(\N)N/N=C/C#Cc2ccccc2)c(SCc2cccc(C(F)(F)F)c2)cc1Cl,0.338400094,-63.00496197,1.121648648,0,-0.500747635,0.895535947,15.232786,0,0,0
CHEMBL4074020,4.12,CC(=O)c1ccc(/N=N/N(C)C(=O)CCc2ccc(O)cc2)cc1,-0.074829983,-15.30251272,0.760389036,0,-0.173892174,0.892485149,10.33750304,0,0,0
